"","V2","V7"
"556",17264,"91.8"
"557",17266,"137.7"
"558",17270,"45.9"
"559",17271,"61.2"
"560",17272,"76.5"
"561",17273,"91.8"
"562",17274,"122.4"
"563",17276,"183.6"
"564",17280,"61.2"
"565",17281,"61.2"
"566",17282,"91.8"
"567",17283,"107.1"
"568",17284,"153"
"569",17286,"214.2"
"570",17304,"489.6"
"571",17305,"229.5"
"572",17306,"229.5"
"573",17307,"229.5"
"574",17310,"BR"
"575",17340,"30.6"
"576",17360,"30.6"
"577",17380,"43.61"
"578",17999,"BR"
"579",19000,"45.9"
"580",19001,"43.61"
"581",19020,"260.1"
"582",19030,"61.2"
"583",19100,"76.5"
"584",19101,"334.31"
"585",19110,"306"
"586",19112,"382.5"
"587",19120,"436.23"
"588",19125,"413.1"
"589",19126,"188.96"
"590",19140,"755.82"
"591",19160,"566.87"
"592",19162,"1162.8"
"593",19180,"755.82"
"594",19182,"944.78"
"595",19200,"1090.13"
"596",19220,"1351.76"
"597",19240,"1279.08"
"598",19260,"1150.54"
"599",19271,"1744.2"
"600",19272,"1875.02"
"601",19290,"76.5"
"602",19291,"45.9"
"603",19316,"1206.41"
"604",19318,"1962.23"
"605",19324,"712.22"
"606",19325,"930.24"
"607",19328,"428.4"
"608",19330,"550.8"
"609",19340,"1002.92"
"610",19342,"1250.01"
"611",19350,"979.2"
"612",19355,"321.3"
"613",19357,"1860.48"
"614",19361,"2994.21"
"615",19364,"1805.4"
"616",19366,"BR"
"617",19367,"3880.85"
"618",19368,"4069.8"
"619",19369,"4273.29"
"620",19370,"1002.92"
"621",19371,"1148.27"
"622",19380,"BR"
"623",19396,"76.5"
"624",19499,"BR"
"625",20000,"45.9"
"626",20005,"260.1"
"627",20100,"712.22"
"628",20101,"973.85"
"629",20102,"843.03"
"630",20103,"755.82"
"631",20150,"930.24"
"632",20200,"168.3"
"633",20205,"260.1"
"634",20206,"91.8"
"635",20220,"122.4"
"636",20225,"413.1"
"637",20240,"290.7"
"638",20245,"413.1"
"639",20250,"1002.92"
"640",20251,"1002.92"
"641",20500,"45.9"
"642",20501,"61.2"
"643",20520,"91.8"
"644",20525,"413.1"
"645",20550,"45.9"
"646",20600,"45.9"
"647",20605,"45.9"
"648",20610,"45.9"
"649",20615,"183.6"
"650",20650,"107.1"
"651",20660,"392.45"
"652",20661,"306"
"653",20662,"306"
"654",20663,"351.9"
"655",20665,"61.2"
"656",20670,"122.4"
"657",20680,"367.2"
"658",20690,"392.45"
"659",20692,"508.73"
"660",20693,"306"
"661",20694,"183.6"
"662",20802,"BR"
"663",20805,"BR"
"664",20808,"BR"
"665",20816,"BR"
"666",20822,"BR"
"667",20824,"BR"
"668",20827,"BR"
"669",20838,"BR"
"670",20900,"336.6"
"671",20902,"632.74"
"672",20910,"465.12"
"673",20912,"443.7"
"674",20920,"306"
"675",20922,"413.1"
"676",20924,"306"
"677",20926,"306"
"678",20930,"159.89"
"679",20931,"203.49"
"680",20936,"247.1"
"681",20937,"436.05"
"682",20938,"552.33"
"683",20950,"76.5"
"684",20955,"2264.4"
"685",20956,"2264.4"
"686",20957,"2264.4"
"687",20962,"2264.4"
"688",20969,"2998.8"
"689",20970,"2983.9"
"690",20972,"2848.86"
"691",20973,"3049.51"
"692",20974,"363.38"
"693",20975,"494.19"
"694",20999,"BR"
"695",21010,"1497.11"
"696",21015,"BR"
"697",21025,"1279.08"
"698",21026,"1279.08"
"699",21029,"1191.87"
"700",21030,"857.57"
"701",21031,"260.1"
"702",21032,"372.68"
"703",21034,"1239.3"
"704",21040,"382.5"
"705",21041,"712.22"
"706",21044,"1177.34"
"707",21045,"2136.65"
"708",21050,"1715.13"
"709",21060,"2122.11"
"710",21070,"1409.9"
"711",21076,"1120.27"
"712",21077,"2816.41"
"713",21079,"1899.43"
"714",21080,"2154.82"
"715",21081,"1959.25"
"716",21082,"1749.01"
"717",21083,"1656.7"
"718",21084,"1921.85"
"719",21085,"748.59"
"720",21086,"2116.42"
"721",21087,"2088.54"
"722",21088,"BR"
"723",21089,"BR"
"724",21100,"198.9"
"725",21110,"443.7"
"726",21116,"45.9"
"727",21120,"944.78"
"728",21121,"1409.9"
"729",21122,"1845.95"
"730",21123,"2151.18"
"731",21125,"1162.8"
"732",21127,"1637.1"
"733",21137,"1627.92"
"734",21138,"2151.18"
"735",21139,"2311.07"
"736",21141,"2688.98"
"737",21142,"2834.33"
"738",21143,"2936.07"
"739",21145,"2950.61"
"740",21146,"3095.96"
"741",21147,"3226.77"
"742",21150,"3502.94"
"743",21151,"3938.99"
"744",21154,"4244.22"
"745",21155,"4883.76"
"746",21159,"5959.35"
"747",21160,"6918.66"
"748",21172,"2630.84"
"749",21175,"4171.55"
"750",21179,"3444.8"
"751",21180,"3880.85"
"752",21181,"1366.29"
"753",21182,"4229.69"
"754",21183,"4622.13"
"755",21184,"5014.58"
"756",21188,"3328.52"
"757",21193,"3226.77"
"758",21194,"3706.43"
"759",21195,"3139.56"
"760",21196,"3415.73"
"761",21198,"1409.9"
"762",21206,"2747.12"
"763",21208,"1193.4"
"764",21209,"886.64"
"765",21210,"1787.81"
"766",21215,"1943.1"
"767",21230,"1526.18"
"768",21235,"930.24"
"769",21240,"2470.95"
"770",21242,"2223.86"
"771",21243,"2747.12"
"772",21244,"2587.23"
"773",21245,"3081.42"
"774",21246,"3270.38"
"775",21247,"2311.07"
"776",21248,"2529.09"
"777",21249,"3706.43"
"778",21255,"2354.67"
"779",21256,"4171.55"
